Method,Rank,Mean,Gen 0,Allocated,Categories,Job,Jit,Platform,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,,,Error,StdDev,Median,Scaled,ScaledSD
FromResult,1,6.773 ns,0.021,44 B,FromResult,Clr,LegacyJit,X86,Default,Default,Default,16,Default,,,0.3373 ns,0.9568 ns,6.277 ns,0.86,0.14
'new ValueTask',2,7.923 ns,-,0 B,FromResult,Clr,LegacyJit,X86,Default,Default,Default,16,Default,,,0.2528 ns,0.7455 ns,7.794 ns,1,0
'await Task',1,"14,551.067 ns",0.1221,259 B,Async+FromResult,Clr,LegacyJit,X86,Default,Default,Default,16,Default,,,353.1744 ns,377.8926 ns,"14,446.519 ns",0.92,0.04
'await ValueTask',2,"15,801.812 ns",0.061,180 B,Async+FromResult,Clr,LegacyJit,X86,Default,Default,Default,16,Default,,,655.7724 ns,581.3251 ns,"15,591.202 ns",1,0
'await Task.Configure',1,"16,333.837 ns",0.1221,267 B,Async+FromResult+ConfigureAwait,Clr,LegacyJit,X86,Default,Default,Default,16,Default,,,322.8690 ns,606.4262 ns,"16,160.397 ns",0.99,0.04
'await ValueTask.Configure',1,"16,480.776 ns",0.061,188 B,Async+FromResult+ConfigureAwait,Clr,LegacyJit,X86,Default,Default,Default,16,Default,,,337.8914 ns,375.5654 ns,"16,403.569 ns",1,0
FromResult,1,12.602 ns,0.0381,80 B,FromResult,LegacyJitX64,LegacyJit,X64,Default,Default,Default,16,Default,,,0.2175 ns,0.2035 ns,12.541 ns,0.62,0.02
'new ValueTask',2,20.267 ns,-,0 B,FromResult,LegacyJitX64,LegacyJit,X64,Default,Default,Default,16,Default,,,0.5488 ns,0.5872 ns,20.163 ns,1,0
'await Task',1,"18,183.270 ns",0.2136,486 B,Async+FromResult,LegacyJitX64,LegacyJit,X64,Default,Default,Default,16,Default,,,363.7042 ns,497.8424 ns,"18,022.209 ns",0.98,0.03
'await ValueTask',2,"18,549.182 ns",0.1526,338 B,Async+FromResult,LegacyJitX64,LegacyJit,X64,Default,Default,Default,16,Default,,,316.2845 ns,264.1119 ns,"18,449.551 ns",1,0
